system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,class_int,class_label,label_id,latitude,lc,location,longitude,obs_date,.geo
0_111_0,78,47,127,74,69,78,106,143,125,138,2,open_water,RO0112_20241024,29.522346921617686,0,Rodman,-81.86579608175236,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_112_0,74,30,108,85,61,99,151,153,116,165,2,open_water,RO0113_20241024,29.515438163116066,0,Rodman,-81.85648569674447,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_113_0,34,36,129,70,62,71,72,71,60,62,2,open_water,RO0114_20241024,29.514205740405938,0,Rodman,-81.85112257173992,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_114_0,22,16,117,74,69,74,64,76,67,60,2,open_water,RO0115_20241024,29.518537826827313,0,Rodman,-81.84583349537789,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_115_0,20,16,116,75,59,65,77,90,75,68,2,open_water,RO0116_20241024,29.51820172332572,0,Rodman,-81.83686635037031,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_116_0,21,17,125,64,52,68,60,75,54,54,2,open_water,RO0117_20241024,29.515475509231425,0,Rodman,-81.82811373036287,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_117_0,37,28,125,78,52,48,53,64,68,56,2,open_water,RO0118_20241024,29.52182411335419,0,Rodman,-81.81202435534922,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_118_0,41,22,107,62,59,44,69,80,71,68,2,open_water,RO0119_20241024,29.511852891948692,0,Rodman,-81.80451598034284,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_119_0,29,20,132,61,44,44,43,50,46,32,2,open_water,RO0120_20241024,29.511367376686813,0,Rodman,-81.82781339536261,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_120_0,48,29,111,83,155,189,112,151,124,89,2,open_water,RO0121_20241024,29.510172252274693,0,Rodman,-81.83549339036914,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_121_0,45,35,87,81,151,272,157,192,161,89,2,open_water,RO0122_20241024,29.50976142499917,0,Rodman,-81.83103127036536,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_122_0,45,28,111,66,70,138,97,136,125,96,2,open_water,RO0123_20241024,29.51435512547455,0,Rodman,-81.80524139316995,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_123_0,32,18,109,51,46,43,30,48,35,33,2,open_water,RO0124_20241024,29.506362698535696,0,Rodman,-81.81622507317927,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_124_0,45,25,116,59,48,53,70,70,62,48,2,open_water,RO0125_20241024,29.508043401455815,0,Rodman,-81.80880250817297,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_125_0,76,45,118,69,46,54,78,97,81,88,2,open_water,RO0126_20241024,29.510844510984224,0,Rodman,-81.80331066816832,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_126_0,23,14,103,62,31,47,34,42,40,35,2,open_water,RO0127_20241024,29.510508381933267,0,Rodman,-81.8132217231767,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_127_0,62,37,111,65,54,57,76,111,87,86,2,open_water,RO0128_20241024,29.526491951738254,0,Rodman,-81.80661554275433,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_128_0,126,74,114,63,59,68,126,128,196,149,2,open_water,RO0129_20241024,29.52783624889193,0,Rodman,-81.79700482274617,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_129_0,102,53,118,84,50,58,125,119,143,125,2,open_water,RO0130_20241024,29.525670428016706,0,Rodman,-81.80335476275157,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
